#clade_name	NCBI_tax_id	additional_species	DM055	LG050	DM093	LG049	LG006	LG043	DM004	DM057	DM025	LG023	LG030	DM001	DM063	DM074	LG052	LG045	DM065	DM008	LG025	DM046	LG038	DM019	LG046	DM007	DM087	DM051	LG026	LG034	DM002	LG001
k__Bacteria	2		100.0	99.99369	99.89995	99.81459	99.95387	100.0	99.9588	100.0	99.15723	100.0	99.85439	100.0	99.94953	99.98923	99.99635	98.91654	100.0	100.0	99.63661	99.9522	99.96117	100.0	100.0	100.0	100.0	100.0	99.99823	99.89754	99.98863	99.99572
k__Bacteria|p__Bacteroidetes	2|976		79.78722	73.12301	46.40304	34.93982	50.61008	64.23733	62.29665	60.97027	32.36397	78.87092	62.47525	49.51326	43.19406	54.68552	77.01236	12.66985	68.93538	40.12519	34.62538	62.18577	55.99467	78.68833	54.32266	70.32384	27.05722	54.99059	34.30247	62.89148	43.05918	80.61762
k__Bacteria|p__Firmicutes	2|1239		17.31511	11.77384	51.18242	55.77767	42.00911	31.23715	34.9352	30.41746	48.12865	19.31491	35.49385	46.68875	34.13655	33.26635	20.97907	77.31942	29.50613	46.26734	40.93204	35.6894	39.85943	12.4971	41.9118	27.87009	66.10839	15.27723	60.539	35.60882	34.65411	16.92986
k__Bacteria|p__Proteobacteria	2|1224		2.28064	14.1826	1.07871	2.78213	3.71416	2.69653	1.3141	0.65273	11.95768	0.69185	1.56432	2.70267	5.97559	10.76724	1.20296	1.50317	0.22285	6.28007	16.52775	0.67956	1.79975	8.47689	0.90457	0.41223	0.68833	29.34553	4.35608	0.63943	18.43194	1.67762
k__Bacteria|p__Actinobacteria	2|201174		0.61481	0.36101	1.01817	0.56986	1.09135	0.64956	0.39001	1.22219	0.48979	0.3366	0.28875	0.8395	0.38591	0.46414	0.79819	0.69279	1.2056	1.43964	0.79827	0.32573	0.3874	0.22783	0.77413	0.67185	6.11385	0.36708	0.29034	0.74318	1.70007	0.12921
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818		0.00221		0.00493	0.00203		0.00221					0.00471			0.00408	0.00377	0.0048					0.0034	0.00424			0.03003		0.00073		0.00894	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643		79.78722	73.12301	46.38452	34.85808	50.61008	64.2364	62.29665	60.97027	32.31243	78.87092	62.47525	48.78099	43.19406	54.68552	77.01236	12.59006	68.93538	40.12519	34.10291	62.18577	55.95704	78.68833	54.32037	70.32384	27.04845	54.99059	34.26556	62.86714	43.05918	80.08473
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801		9.94079	10.11884	49.31504	49.76413	34.80651	27.03995	30.91887	26.93859	37.33098	10.6226	32.27103	41.39924	30.81245	16.87589	15.22032	73.05117	20.87813	37.44803	37.38079	32.69562	37.87061	8.79896	35.75133	18.2106	61.65604	11.85903	54.8733	31.22388	18.76981	14.98302
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932		4.82893	1.45455	0.24419	3.25578	1.31895	1.08113	1.06901	1.95396	3.87526	7.90601	1.6184	2.02729	1.30309	14.19391	4.33003	0.28089	6.50642	4.34196	1.51186	1.22716	0.94123	2.96955	3.50194	5.3476	0.76181	1.68537	2.8261	1.9147	13.75495	1.29175
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524		2.2522	0.05418	0.67534	0.76057	3.52245	1.68584	1.29617	0.44085	1.36433	0.63899	0.45243	0.19079	1.50265	1.25393	1.30579	0.70413	1.49418	2.69204	0.68732	0.77321	0.50719	0.53586	0.61678	2.67188	3.11642	0.89293	0.33395	0.07962	1.86428	0.54424
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216		1.92443	0.43467	0.23923	0.19976	0.16954	2.11421	1.06682	0.377	2.82511	0.58282	1.35066	1.3024	0.16659	1.593	0.90453	0.09736	0.18597	0.40308	0.0055	0.3789	0.55742	0.57192	0.79105	0.02748	0.32932	0.29549	1.32055	0.40401	1.05245	1.01679
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998		0.4183	0.20001	0.82741	0.52645	1.00201	0.55849	0.38717	1.03912	0.38794	0.31366	0.13535	0.82768	0.35217	0.43187	0.43288	0.60138	0.56851	1.30928	0.79827	0.32424	0.2473	0.20761	0.73926	0.66028	2.8736	0.32978	0.25611	0.34749	1.69746	0.10052
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236		0.35621	0.02933	0.0536	0.00322		0.09257	0.03972		0.37726		0.11593	0.17342	0.01175	0.04197	0.12396	0.54532	0.03688	0.30442	0.01321			0.95437	0.11352	0.214	0.00547	28.94688	1.0703	0.07139	0.03811	0.03793
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061		0.2932	0.00752	0.13545	1.18052	2.23677	0.28453	0.96051	0.0381	5.30325	0.0712	0.94672	2.91739	0.21907	0.28783	0.11371	2.06365	0.0524	1.50388	0.88453	0.78961	0.0345	0.17311	0.00963	0.92554	0.16449	0.577	1.34456	2.1645	0.09436	0.05659
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760		0.19651	0.161	0.18438	0.00295	0.00067	0.09106	0.00017	0.18307	0.01405	0.02294	0.14213	0.00933	0.03375	0.02826	0.36464	0.08761	0.6371	0.13035		0.00149	0.13665	0.01547	0.03487	0.01158	3.22448	0.0373	0.0336	0.39569	0.00261	0.02868
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|		0.00221		0.00493	0.00203		0.00221					0.00471			0.00372	0.00377	0.00433					0.0034	0.00424			0.02941		0.00073		0.00894	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549		79.78722	73.12301	46.38354	34.85808	50.61008	64.2364	62.29665	60.97027	32.31243	78.87092	62.47525	48.78099	43.19406	54.68552	77.01236	12.59006	68.93538	40.12473	34.10291	62.18577	55.95662	78.68833	54.3186	70.32384	27.04085	54.99059	34.26449	62.86699	43.05918	80.08473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802		9.88495	9.6997	41.16404	41.89509	28.61404	25.23627	23.90316	26.10011	31.18985	9.74767	28.67883	31.45851	26.53066	16.72427	13.4895	39.60238	20.67095	32.1633	26.44281	19.64989	30.38914	8.30367	34.72008	15.36061	37.12265	11.60325	43.04922	22.1201	16.09829	13.93855
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489		3.16724	1.13772	0.04944	0.57343	0.03058	0.00754	0.0533	0.28199	0.41047	0.8177	0.01117	1.16848	0.45868	5.92032	2.21579	0.04793	0.7085	1.25393	1.25199	0.01293	0.02771	1.75664	0.05606	0.66476	0.01003	0.35297	0.08947	1.9147	2.13741	0.03412
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525		2.2522	0.05418	0.67534	0.76057	3.52245	1.68584	1.29617	0.44085	1.36433	0.63899	0.45243	0.19079	1.50265	1.25393	1.30579	0.70413	1.49418	2.69204	0.68732	0.77321	0.50719	0.53586	0.61678	2.67188	3.11642	0.89293	0.33395	0.07962	1.86428	0.54424
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840		1.92443	0.43467	0.23923	0.19976	0.16954	2.11421	1.06682	0.377	2.82323	0.58282	1.35066	1.3024	0.16659	1.593	0.90453	0.09736	0.18597	0.40308	0.0055	0.3789	0.55742	0.57192	0.79105	0.02748	0.32932	0.29549	1.32055	0.40401	1.05245	1.01679
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929		1.55294			1.14862	0.1488		0.21898	1.20869	2.93718	5.78696		0.84283	0.52037	4.53517	1.74602			2.16427				0.55566		2.92455					8.6753	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999		0.37047	0.1604	0.49981	0.43953	0.92853	0.46291	0.24416	0.86733	0.34374	0.30767	0.11969	0.77183	0.3076	0.40878	0.40435	0.48041	0.55386	1.07563	0.70199	0.27979	0.16184	0.19547	0.58976	0.54519	2.41702	0.3236	0.18535	0.20918	1.64529	0.04482
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625		0.35621	0.0041				0.08097	0.03972		0.30833		0.11593	0.02888	0.01175	0.04197	0.12396		0.03688	0.01029	0.01006			0.35953	0.07351	0.06986		0.02276		0.07046	0.02776	0.03793
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826		0.2932	0.00752	0.0854	0.02036	0.00536	0.28453	0.34657	0.0381	0.42315	0.058	0.07258	0.0216	0.02812	0.28764	0.11371	0.03013	0.0524	0.44239	0.01058	0.0501	0.01066	0.17311	0.00963	0.88486	0.16449	0.577	0.23625	0.32517	0.09436	0.05659
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004		0.19379	0.16094	0.15881			0.07816		0.18307		0.02112	0.14058		0.03375		0.35527	0.05531	0.63392	0.11454		0.00149	0.13601		0.03216		3.05748	0.01311	0.03012	0.39569		0.02321
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488		0.10874	0.31682	0.19475	1.53373	1.13957	1.07358	0.79673	0.46328	0.52761	1.30134	1.60724	0.01599	0.32404	3.73841	0.36822	0.23296	5.79792	0.92375	0.25987	1.21423	0.91352	0.65724	3.44588	1.75829	0.75178	1.3324	2.73664		2.94224	1.25763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|		0.05584	0.41913	8.151	7.86904	6.19247	1.7993	7.01299	0.83847	6.13914	0.87493	3.59221	9.94023	3.90126	0.15161	1.73082	33.44879	0.20718	5.27658	10.93799	13.04573	7.48147	0.49529	1.03125	2.84999	24.53339	0.25578	11.82408	9.10378	2.66625	1.0024
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822		0.04784	0.03961	0.3276	0.08693	0.07348	0.09558	0.14003	0.17178	0.0442	0.00598	0.01566	0.05585	0.04456	0.02309	0.02477	0.12096	0.01465	0.23296	0.09627	0.03353	0.0845	0.01214	0.1495	0.11508	0.45658	0.00618	0.07076	0.13831	0.02999	0.05571
