# Gene Family	DM001.concat_Abundance-RPKs	DM002.concat_Abundance-RPKs	DM004.concat_Abundance-RPKs	DM007.concat_Abundance-RPKs	DM008.concat_Abundance-RPKs	DM019.concat_Abundance-RPKs	DM025.concat_Abundance-RPKs	DM046.concat_Abundance-RPKs	DM051.concat_Abundance-RPKs	DM055.concat_Abundance-RPKs	DM057.concat_Abundance-RPKs	DM063.concat_Abundance-RPKs	DM065.concat_Abundance-RPKs	DM074.concat_Abundance-RPKs	DM087.concat_Abundance-RPKs	DM093.concat_Abundance-RPKs	LG001.concat_Abundance-RPKs	LG006.concat_Abundance-RPKs	LG023.concat_Abundance-RPKs	LG025.concat_Abundance-RPKs	LG026.concat_Abundance-RPKs	LG030.concat_Abundance-RPKs	LG034.concat_Abundance-RPKs	LG038.concat_Abundance-RPKs	LG043.concat_Abundance-RPKs	LG045.concat_Abundance-RPKs	LG046.concat_Abundance-RPKs	LG049.concat_Abundance-RPKs	LG050.concat_Abundance-RPKs	LG052.concat_Abundance-RPKs
UNMAPPED	53028236.0	44692658.0	34030688.0	42270099.0	39802791.0	50752082.0	48947824.0	67652071.0	43416443.0	37752464.0	35110135.0	33780796.0	47324394.0	37816527.0	51065906.0	41619809.0	52757626.0	72713485.0	43100226.0	47953181.0	46437703.0	47380949.0	45799523.0	43676144.0	45299099.0	51150029.0	47616631.0	39667051.0	47312212.0	49040588.0
UNGROUPED	2956450.2127931425	1443618.4853588848	1667880.9348552616	1625706.5073506401	4901622.260098195	3089452.5594353476	1123200.1035846607	2810728.378693808	3378179.599605967	2353630.8331854427	1609568.2282017316	1515520.0612880427	2989616.8185041277	2299445.386617267	4749794.85180321	6469974.307326465	4652541.384680268	0.0	2056839.8291439533	0.0	10777328.734653017	3223434.346782621	3126027.6235133726	9906939.830245348	27254053.81815184	2293652.9274805896	13089309.462506542	853369.4829116937	5317334.199197583	2312146.3337006853
UNGROUPED|g__Bacteroides.s__Bacteroides_dorei	989341.0735662464	234384.0639439104	285168.26172782923	227535.86951173528	1028178.9335704395	438505.3623334201	268136.3837265614	518698.033764943	633356.6695587828	540314.449356466	303696.2011092987	322743.163040654	452673.7356361606	423068.43734561536	1653493.115900255	3515518.020422966	1086090.5203081775	0.0	344619.42453305406	0.0	4195614.925631717	845257.7404249426	602395.212848037	5437469.064498927	5030581.2622081805	698340.9852938559	2299860.1532493294	223518.46498181115	1070536.0057137639	261472.89313635128
UNGROUPED|g__Bacteroides.s__Bacteroides_vulgatus	1967098.29211177	1209234.4214149658	1382712.67312743	1398152.6229529355	3873383.394903779	2650231.93197349	855063.7198580955	2292030.344928865	2741688.36907344	1813316.3838289795	1305872.0270924347	1192776.898247389	2536943.0828679637	1876376.9492716573	3096301.735902953	2954456.2869035136	3566450.8643720946	0.0	1712220.4046108988	0.0	6581466.530646669	2378176.606357659	2523632.4106653505	4469470.765746374	22223472.555943653	1595217.3251430192	10789449.30925719	629851.0179298848	4246798.193483787	2050673.4405643344
UNGROUPED|unclassified	10.8471151206	0.0	0.0	18.0148859755	59.9316239805	715.2651284248	0.0	0.0	3134.5609737299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.2783746083	0.0	0.0	0.0	0.0	94.6170437079	0.0	0.0	0.0	0.0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	2842.5402145505	914.4870800793	121.809998592	1274.3228675239	1243.7298694125002	1986.1219266063	1536.3568519232	2094.0686500178	358.50180253639996	1538.6065231431	2328.2752831936	968.1085688084	1701.0001611562002	1846.1382151093999	712.0216739719999	524.7315186985	3661.5981611443	0.0	2585.0987014081998	0.0	1607.1883125845	11383.0552029047	362.2304171292	889.1581872789001	4669.6011812344	264.3380370691	2309.6139416597	1556.7682444231998	3505.5419570635	1445.9332303611
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]|g__Bacteroides.s__Bacteroides_dorei	74.6170276594	1.4662756598	1.4925373134	0.0	12.3196897877	0.0	0.0	0.0	9.135695368	3.1040244289	1.5337423313	3.2601591021	3.0159639266	3.2218149558	119.2323859372	440.2822935728	7.5390051819	0.0	0.0	0.0	501.3164149808	58.0078819483	17.9138916876	821.5783606208	144.818269425	35.6084379998	72.9072239912	3.2840722496	24.9875136663	0.0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]|g__Bacteroides.s__Bacteroides_vulgatus	2767.9231868911	913.0208044194	120.3174612786	1274.3228675239	1231.4101796248	1986.1219266063	1536.3568519232	2094.0686500178	349.3661071684	1535.5024987142	2326.7415408623	964.8484097062001	1697.9841972295	1842.9164001537	592.7892880348	84.4492251257	3654.0591559624	0.0	2585.0987014081998	0.0	1105.8718976036	11325.047320956399	344.3165254416	67.5798266582	4524.7829118094	228.7295990693	2236.7067176685	1553.4841721736	3480.5544433972	1445.9332303611
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]	339.08003145600003	108.8134847085	178.1227085651	32.3934139228	979.3460847494	180.2709898537	29.9040228138	29.3701275888	445.7923504544	148.5166832315	0.0	87.5633779038	209.8130790325	195.8539927808	1183.5804739447	1717.3112325381999	524.8698729554	0.0	9.6463022508	0.0	2618.2924521175	474.2090055428	924.9551090790001	2497.5872085371	7333.364043569	620.7184505404	3432.2307442665	12.804083824900001	1219.4061312744	112.81569834570001
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|g__Bacteroides.s__Bacteroides_dorei	198.4344621223	41.5813968423	32.0006489357	16.2996612655	109.73314654250001	0.9803921569	15.0178209705	25.7943687595	49.2883418995	33.4721310925	0.0	8.5279952476	12.4582554538	0.0	828.25336161	1233.8988290825	12.1928061256	0.0	0.0	0.0	1210.0477409276	179.28890036229998	355.6366288553	1902.0037982471001	44.7792136478	271.1946870188	79.8219601419	9.6000157154	212.35062117479998	40.4692615072
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|g__Bacteroides.s__Bacteroides_vulgatus	140.6455693337	67.2320878662	146.12205962939998	16.0937526573	869.6129382069	179.2905976969	14.8862018433	3.5757588293	396.504008555	115.04455213899999	0.0	79.0353826562	197.3548235787	195.8539927808	355.3271123348	483.4124034557	512.6770668299	0.0	9.6463022508	0.0	1408.2447111899999	294.9201051805	569.3184802236999	595.5834102898	7288.584829921299	349.52376352170006	3352.4087841246	3.2040681095	1007.0555100996	72.3464368385
1.1.1.274-RXN: (expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	70.8902985562	56.6955488522	43.8906853274	0.0	330.1228591498	0.0	0.0	0.0	94.5520929992	31.0603781112	0.0	11.6376785635	15.4783550508	32.1870855756	0.0	0.0	118.0715861062	0.0	0.0	0.0	0.0	0.0	184.1053592614	0.0	3532.3891260713	87.3493502974	1846.992126111	0.0	137.9690862287	0.0
1.1.1.274-RXN: (expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]|g__Bacteroides.s__Bacteroides_vulgatus	70.8902985562	56.6955488522	43.8906853274	0.0	330.1228591498	0.0	0.0	0.0	94.5520929992	31.0603781112	0.0	11.6376785635	15.4783550508	32.1870855756	0.0	0.0	118.0715861062	0.0	0.0	0.0	0.0	0.0	184.1053592614	0.0	3532.3891260713	87.3493502974	1846.992126111	0.0	137.9690862287	0.0
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	48.5101180868	0.0	0.0	0.0	137.5931690739	8.4537181728	0.0	0.0	0.0	0.0	0.0	7.326007326	15.5218404184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.2767227147	0.0
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]|g__Bacteroides.s__Bacteroides_dorei	9.6734251664	0.0	0.0	0.0	29.9656848743	3.5697132887	0.0	0.0	0.0	0.0	0.0	1.221001221	2.442002442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.7385068076	0.0
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]|g__Bacteroides.s__Bacteroides_vulgatus	38.8366929205	0.0	0.0	0.0	107.6274841996	4.884004884	0.0	0.0	0.0	0.0	0.0	6.105006105	13.0798379764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.5382159071	0.0
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	97.7655414298	25.0576183825	34.2597864308	0.0	15.8797096496	51.0280352591	11.2179434127	0.0	66.6673287453	16.8747852712	0.0	26.2049199763	43.4102089411	63.0713885211	165.6420790089	295.8241204354	78.2695111751	0.0	8.6999469381	0.0	660.7450769002	125.6242448871	49.1224838129	439.1030965994	19.4372212905	113.0345096258	9.2033767825	0.0	54.7376925686	17.3646713355
